Selecao                              Class. Geral   Ataque  Meio-Campo  Defesa     Idade XI Ini
-----------------------------------------------------------------------------------------------
France                                         86       87          85      85            25.82
Spain                                          85       85          86      83            25.27
England                                        84       86          85      83            25.27
Germany                                        84       81          84      85            26.18
Portugal                                       84       84          86      84            27.36
Argentina                                      83       84          83      79            29.36
Brazil                                         83       82          81      83            26.82
Netherlands                                    82       81          83      84            26.55
Belgium                                        81       82          82      78            27.64
Morocco                                        79       80          79      79            26.82
Croatia                                        79       78          79      78            27.45
Norway                                         79       80          81      75            25.64
Türkiye                                        79       79          80      78            25.73
Uruguay                                        79       78          79      79            27.45
Senegal                                        79       79          79      78            26.27
Colombia                                       78       79          79      78            29.36
Côte d'Ivoire                                  78       80          78      78            24.64
Austria                                        78       77          79      78            28.64
Switzerland                                    78       77          79      76            28.55
Czechia                                        77       78          75      75            27.91
Sweden                                         77       86          77      76            26.55
United States                                  77       77          79      77            26.18
Japan                                          77       78          78      77            26.64
Scotland                                       76       77          78      75            28.82
Algeria                                        76       75          76      76            26.45
Ecuador                                        76       73          76      79            25.18
Mexico                                         76       78          76      75            27.91
Paraguay                                       75       75          75      76            27.27
Canada                                         75       77          73      76             26.0
Ghana                                          75       78          75      73             27.0
Korea Republic                                 75       77          74      75            27.73
Egypt                                          74       78          74      70            29.18
Congo DR                                       74       78          71      75            27.09
Bosnia and Herzegovina                         73       76          70      72            26.27
Saudi Arabia                                   72       74          74      71             28.0
Iran                                           72       73          72      72            28.27
Tunisia                                        71       70          72      72            27.09
Australia                                      71       69          71      70            27.55
Cabo Verde                                     70       69          69      71            27.91
New Zealand                                    70       74          69      69            26.73
Panama                                         70       70          70      69            28.73
South Africa                                   70       70          69      70            27.27
Qatar                                          69       73          68      67            29.64
Haiti                                          69       70          69      69            28.45
Uzbekistan                                     68       69          67      71            28.82
Curacao                                        68       66          69      69             25.0
Jordan                                         66       66          67      66            23.55
Iraq                                           65       63          66      64            23.55
